Pachyderm Acoustic Simulation Results
Saved 26.06.2022 15:53:27
Filename:PachydermRhinoGewandhaus1.3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);1,1218577319337;1,16357787515173;1,2491170371029;1,30919473177708;1,66196547932562;1,65572673875073;1,68748627503363;1,72961125184023
Reverberation Time (T-10);1,32085365555612;1,36858718378884;1,59086603887346;1,7812936846877;2,17661190866066;1,83209115672318;1,63556138004888;1,72903895377945
Reverberation Time (T-15);1,52135388252466;1,61119215803776;1,80146258411217;1,91199287875915;2,22702694258674;1,87253267822673;1,64883474610976;1,74363494024734
Reverberation Time (T-20);1,57983534125916;1,67858067637439;1,82929065258016;1,94243766277979;2,22735171358082;1,90769295382361;1,66704722775129;1,72111681575382
Reverberation Time (T-30);1,64997801233499;1,77577781742408;1,96000793752998;2,0313373716359;2,2692254088436;1,90903970981909;1,67303031123094;1,69168381055466
Clarity - 50 ms (C-50);1,63813878300659;1,357188836254;0,868575072913334;0,662445745964315;-0,032580427897141;0,265701725316872;0,206650782100058;0,181272433078801
Definition/Deutlichkeit (D);59,3196488424266;57,749640906057;54,9833205631491;53,805967796891;49,8124528605785;51,5290251807267;51,1893531279589;51,0433365358503
Clarity - 80 ms (C-80);4,21821367036592;3,90419999485914;3,32002272397182;3,21971350372584;2,62373096622379;2,64161238569504;1,91459475559134;1,97330634345624
Center Time (TS);62,8593548928002;66,2934280939018;73,6157137766944;77,2149144588234;92,4980120820688;87,1767398409688;87,6617218051609;90,1570104151332
Strength(G);3,98378992827629;4,11980787918294;4,19220160499107;3,90639911473583;3,56236791157329;2,55933522519902;1,47132000124529;1,49562595097549
Lateral Fraction(LF);181,344413558751;189,472051866705;198,752496678392;214,22132166797;232,763251623498;203,496077759861;163,925017268234;180,949976533301
Lateral Efficiency(LE);181,180367667908;189,043310414753;197,447223056092;209,927089144916;223,441915254988;189,098933443673;142,351596819095;148,918810358784
